Country,Last ,Previous ,Reference, Unit
Singapore,2.1,2,Mar/24,%
Switzerland,2.3,2.3,May/24,%
Japan,2.6,2.6,Apr/24,%
Mexico,2.6,2.3,Apr/24,%
Russia,2.6,2.7,Apr/24,%
South Korea,2.8,2.8,May/24,%
Netherlands,3.7,3.6,Apr/24,%
Australia,4,4.1,May/24,%
United States,4,3.9,May/24,%
Saudi Arabia,4.4,5.1,Dec/23,%
United Kingdom,4.4,4.3,Apr/24,%
Indonesia,4.82,5.32,Mar/24,%
China,5,5.2,Apr/24,%
Argentina,5.7,5.7,Dec/23,%
Germany,5.9,5.9,May/24,%
Canada,6.2,6.1,May/24,%
Euro Area,6.4,6.5,Apr/24,%
Italy,6.9,7.2,Apr/24,%
Brazil,7.5,7.9,Apr/24,%
France,7.5,7.5,Mar/24,%
India,7.64,8.01,Mar/24,%
Turkey,8.5,8.6,Apr/24,%
Spain,12.29,11.8,Mar/24,%
South Africa,32.9,32.1,Mar/24,%
